State,Year,INSURABLE_POPULATION
AK,2005,461168
AK,2006,469434
AK,2007,475655
AK,2008,483416
AK,2009,491537
AK,2010,505601
AK,2011,513904
AK,2012,523490
AK,2013,530194
AK,2014,531924
AK,2015,534628
AL,2005,3318359
AL,2006,3369308
AL,2007,3404841
AL,2008,3441599
AL,2009,3478979
AL,2010,3513102
AL,2011,3539795
AL,2012,3565650
AL,2013,3588526
AL,2014,3607853
AL,2015,3622246
AR,2005,2013336
AR,2006,2045115
AR,2007,2065653
AR,2008,2085959
AR,2009,2104342
AR,2010,2126248
AR,2011,2146192
AR,2012,2159648
AR,2013,2170269
AR,2014,2180534
AR,2015,2191840
AZ,2005,4145334
AZ,2006,4283806
AZ,2007,4382578
AZ,2008,4465542
AZ,2009,4525270
AZ,2010,4591759
AZ,2011,4667205
AZ,2012,4748158
AZ,2013,4820864
AZ,2014,4906427
AZ,2015,4996453
CA,2005,25386390
CA,2006,25594878
CA,2007,25831258
CA,2008,26155669
CA,2009,26510169
CA,2010,26899367
CA,2011,27312535
CA,2012,27719763
CA,2013,28098603
CA,2014,28494472
CA,2015,28860399
CO,2005,3342384
CO,2006,3414872
CO,2007,3480423
CO,2008,3548644
CO,2009,3615385
CO,2010,3680077
CO,2011,3743425
CO,2012,3811991
CO,2013,3884312
CO,2014,3957326
CO,2015,4045559
CT,2005,2567730
CT,2006,2582356
CT,2007,2596715
CT,2008,2618812
CT,2009,2640349
CT,2010,2663722
CT,2011,2679153
CT,2012,2693979
CT,2013,2710760
CT,2014,2720606
CT,2015,2726638
DC,2005,438977
DC,2006,443835
DC,2007,448953
DC,2008,455369
DC,2009,466979
DC,2010,480910
DC,2011,493477
DC,2012,505191
DC,2013,516187
DC,2014,524306
DC,2015,533339
DE,2005,617668
DE,2006,629812
DE,2007,639970
DE,2008,650106
DE,2009,657421
DE,2010,666437
DE,2011,675843
DE,2012,685442
DE,2013,695327
DE,2014,705840
DE,2015,714893
FL,2005,13415527
FL,2006,13671413
FL,2007,13847329
FL,2008,13999677
FL,2009,14138997
FL,2010,14343826
FL,2011,14612029
FL,2012,14859796
FL,2013,15087594
FL,2014,15373325
FL,2015,15694335
GA,2005,6315329
GA,2006,6486221
GA,2007,6620939
GA,2008,6741047
GA,2009,6843612
GA,2010,6932109
GA,2011,7033095
GA,2012,7138659
GA,2013,7216336
GA,2014,7315750
GA,2015,7420778
HI,2005,961604
HI,2006,976967
HI,2007,982176
HI,2008,997046
HI,2009,1009124
HI,2010,1025515
HI,2011,1039618
HI,2012,1053707
HI,2013,1067897
HI,2014,1078498
HI,2015,1087164
IA,2005,2154704
IA,2006,2170462
IA,2007,2184378
IA,2008,2198082
IA,2009,2212467
IA,2010,2229485
IA,2011,2244345
IA,2012,2257855
IA,2013,2272776
IA,2014,2286732
IA,2015,2298439
ID,2005,989011
ID,2006,1019240
ID,2007,1044649
ID,2008,1065498
ID,2009,1081617
ID,2010,1095792
ID,2011,1109606
ID,2012,1122850
ID,2013,1138127
ID,2014,1155481
ID,2015,1172139
IL,2005,9056990
IL,2006,9106935
IL,2007,9164576
IL,2008,9224416
IL,2009,9287014
IL,2010,9350989
IL,2011,9407805
IL,2012,9463290
IL,2013,9516154
IL,2014,9549709
IL,2015,9566341
IN,2005,4498361
IN,2006,4541824
IN,2007,4579178
IN,2008,4615994
IN,2009,4649987
IN,2010,4686465
IN,2011,4723290
IN,2012,4758322
IN,2013,4795662
IN,2014,4827433
IN,2015,4850347
KR,2005,139413
KS,2005,1955830
KS,2006,1973830
KS,2007,1989008
KS,2008,2008375
KS,2009,2026438
KS,2010,2046791
KS,2011,2057988
KS,2012,2076186
KS,2013,2086770
KS,2014,2096741
KS,2015,2106280
KY,2005,3063473
KY,2006,3093102
KY,2007,3123660
KY,2008,3146896
KY,2009,3172728
KY,2010,3201995
KY,2011,3228162
KY,2012,3250334
KY,2013,3268074
KY,2014,3283529
KY,2015,3296972
LA,2005,3145164
LA,2006,3093361
LA,2007,3145759
LA,2008,3190238
LA,2009,3240380
LA,2010,3292706
LA,2011,3331210
LA,2012,3365589
LA,2013,3393974
LA,2014,3418225
LA,2015,3440855
MA,2005,4748373
MA,2006,4765696
MA,2007,4794156
MA,2008,4836406
MA,2009,4889477
MA,2010,4941614
MA,2011,4992263
MA,2012,5047159
MA,2013,5104757
MA,2014,5159339
MA,2015,5203464
MD,2005,4057861
MD,2006,4095200
MD,2007,4125818
MD,2008,4162630
MD,2009,4211504
MD,2010,4271653
MD,2011,4326930
MD,2012,4380015
MD,2013,4425871
MD,2014,4463904
MD,2015,4497612
ME,2005,989904
ME,2006,997720
ME,2007,1004299
ME,2008,1011060
ME,2009,1014541
ME,2010,1017776
ME,2011,1022539
ME,2012,1027037
ME,2013,1031447
